type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,arrival.terminal,departure.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.terminal,departure.gate,error
departure,unknown,hah,fmch,2023-12-07t14:10:00.000,ajn,fmcv,2023-12-07t14:50:00.000,precision air,pw,prf,642,pw642,prf642,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-07t15:45:00.000,dar,htda,2023-12-07t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-12-07t15:58:00.000,2023-12-07t15:58:00.000,2023-12-07t15:58:00.000,2023-12-07t17:00:00.000,,,,,,,,3,14.0,,,,,,,
departure,active,hah,fmch,2023-12-07t16:00:00.000,dza,fmcz,2023-12-07t17:00:00.000,air austral,uu,reu,7403,uu7403,reu7403,,,,,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-12-07t16:00:00.000,dza,fmcz,2023-12-07t17:00:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-07t16:30:00.000,dar,htda,2023-12-07t18:10:00.000,,h1,h1,1967,h11967,h11967,,,,,precision air,pw,prf,643,pw643,prf643,,,,,,,,,,
departure,active,hah,fmch,2023-12-07t16:30:00.000,dar,htda,2023-12-07t18:10:00.000,precision air,pw,prf,643,pw643,prf643,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-08t07:35:00.000,cai,heca,2023-12-08t13:35:00.000,etihad airways,ey,etd,4954,ey4954,etd4954,,,,,egyptair,ms,msr,841,ms841,msr841,,3,,,,,,,,
departure,active,hah,fmch,2023-12-08t07:35:00.000,cai,heca,2023-12-08t13:35:00.000,egyptair,ms,msr,841,ms841,msr841,,,,,,,,,,,,3,,,,,,,,
departure,active,hah,fmch,2023-12-08t08:30:00.000,ajn,fmcv,2023-12-08t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,unknown,hah,fmch,2023-12-08t13:15:00.000,nwa,fmci,2023-12-08t13:40:00.000,empty,,,312,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-08t14:00:00.000,nbo,hkjk,2023-12-08t16:10:00.000,air france,af,afr,8082,af8082,afr8082,2023-12-08t13:38:00.000,2023-12-08t13:38:00.000,2023-12-08t13:38:00.000,2023-12-08t15:28:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-08t14:00:00.000,nbo,hkjk,2023-12-08t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,2023-12-08t13:38:00.000,2023-12-08t13:38:00.000,2023-12-08t13:38:00.000,2023-12-08t15:28:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-08t14:00:00.000,nbo,hkjk,2023-12-08t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-12-08t13:38:00.000,2023-12-08t13:38:00.000,2023-12-08t13:38:00.000,2023-12-08t15:28:00.000,,,,,,,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-08t15:45:00.000,dar,htda,2023-12-08t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,,,,,,,,,,,2023-12-08t16:00:00.000,3,15.0,,,,,,,
departure,active,hah,fmch,2023-12-08t16:00:00.000,dza,fmcz,2023-12-08t17:00:00.000,air austral,uu,reu,7403,uu7403,reu7403,2023-12-08t16:05:00.000,2023-12-08t16:05:00.000,2023-12-08t16:05:00.000,2023-12-08t16:49:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,5.0,,,,,,,
departure,active,hah,fmch,2023-12-08t16:00:00.000,dza,fmcz,2023-12-08t17:00:00.000,ewa air,zd,ewr,303,zd303,ewr303,2023-12-08t16:05:00.000,2023-12-08t16:05:00.000,2023-12-08t16:05:00.000,2023-12-08t16:49:00.000,,,,,,,,,5.0,,,,,,,
departure,active,hah,fmch,2023-12-08t16:30:00.000,ajn,fmcv,2023-12-08t17:00:00.000,empty,,,509,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-09t10:00:00.000,nwa,fmci,2023-12-09t10:25:00.000,empty,,,521,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-09t12:50:00.000,dar,htda,2023-12-09t14:05:00.000,,h1,h1,3688,h13688,h13688,,,,,air tanzania,tc,atc,211,tc211,atc211,,2,,,,,,,,
departure,active,hah,fmch,2023-12-09t12:50:00.000,dar,htda,2023-12-09t14:05:00.000,air tanzania,tc,atc,211,tc211,atc211,,,,,,,,,,,,2,,,,,,,,
departure,active,hah,fmch,2023-12-09t14:00:00.000,nbo,hkjk,2023-12-09t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,2023-12-09t13:50:00.000,2023-12-09t13:50:00.000,2023-12-09t13:50:00.000,2023-12-09t15:39:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-09t14:00:00.000,nbo,hkjk,2023-12-09t16:10:00.000,air france,af,afr,8082,af8082,afr8082,2023-12-09t13:50:00.000,2023-12-09t13:50:00.000,2023-12-09t13:50:00.000,2023-12-09t15:39:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-09t14:00:00.000,nbo,hkjk,2023-12-09t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-12-09t13:50:00.000,2023-12-09t13:50:00.000,2023-12-09t13:50:00.000,2023-12-09t15:39:00.000,,,,,,,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-09t14:10:00.000,ajn,fmcv,2023-12-09t14:50:00.000,,h1,h1,1966,h11966,h11966,,,,,precision air,pw,prf,642,pw642,prf642,,,,,,,,,,
departure,active,hah,fmch,2023-12-09t14:10:00.000,ajn,fmcv,2023-12-09t14:50:00.000,precision air,pw,prf,642,pw642,prf642,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-09t15:45:00.000,dar,htda,2023-12-09t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,,,,,,,,,,,,3,,,,,,,,
departure,active,hah,fmch,2023-12-09t16:30:00.000,ajn,fmcv,2023-12-09t17:00:00.000,empty,,,509,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-09t16:30:00.000,dar,htda,2023-12-09t18:10:00.000,,h1,h1,1967,h11967,h11967,,,,,precision air,pw,prf,643,pw643,prf643,,,,,,,,,,
departure,active,hah,fmch,2023-12-09t16:30:00.000,dar,htda,2023-12-09t18:10:00.000,precision air,pw,prf,643,pw643,prf643,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-10t12:30:00.000,dza,fmcz,2023-12-10t13:30:00.000,air austral,uu,reu,7403,uu7403,reu7403,,,,,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-12-10t12:30:00.000,dza,fmcz,2023-12-10t13:30:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-10t14:00:00.000,nbo,hkjk,2023-12-10t16:10:00.000,air france,af,afr,8082,af8082,afr8082,,,,,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-10t14:00:00.000,nbo,hkjk,2023-12-10t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,,,,,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-10t14:00:00.000,nbo,hkjk,2023-12-10t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,,,,,,,,,,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-10t15:45:00.000,dar,htda,2023-12-10t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,,,,,,,,,,,2023-12-10t16:20:00.000,3,35.0,,,,,,,
departure,unknown,hah,fmch,2023-12-11t08:30:00.000,ajn,fmcv,2023-12-11t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,unknown,hah,fmch,2023-12-11t13:15:00.000,nwa,fmci,2023-12-11t13:40:00.000,empty,,,312,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-11t15:45:00.000,dar,htda,2023-12-11t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-12-11t16:10:00.000,2023-12-11t16:10:00.000,2023-12-11t16:10:00.000,2023-12-11t17:09:00.000,,,,,,,,3,25.0,,,,4.0,,,
departure,active,hah,fmch,2023-12-12t02:15:00.000,nbo,hkjk,2023-12-12t04:45:00.000,klm,kl,klm,4219,kl4219,klm4219,,,,,kenya airways,kq,kqa,267,kq267,kqa267,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-12t02:15:00.000,nbo,hkjk,2023-12-12t04:45:00.000,kenya airways,kq,kqa,267,kq267,kqa267,,,,,,,,,,,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-12t10:00:00.000,nwa,fmci,2023-12-12t10:25:00.000,empty,,,521,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-12t12:30:00.000,dza,fmcz,2023-12-12t13:30:00.000,air austral,uu,reu,7403,uu7403,reu7403,,,,,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-12-12t12:30:00.000,dza,fmcz,2023-12-12t13:30:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-12t12:50:00.000,dar,htda,2023-12-12t14:05:00.000,,h1,h1,3688,h13688,h13688,2023-12-12t13:03:00.000,2023-12-12t13:03:00.000,2023-12-12t13:03:00.000,2023-12-12t14:05:00.000,air tanzania,tc,atc,211,tc211,atc211,,2,14.0,,,,1.0,,,
departure,active,hah,fmch,2023-12-12t12:50:00.000,dar,htda,2023-12-12t14:05:00.000,air tanzania,tc,atc,211,tc211,atc211,2023-12-12t13:03:00.000,2023-12-12t13:03:00.000,2023-12-12t13:03:00.000,2023-12-12t14:05:00.000,,,,,,,,2,14.0,,,,1.0,,,
departure,active,hah,fmch,2023-12-12t14:00:00.000,nbo,hkjk,2023-12-12t16:10:00.000,air france,af,afr,8082,af8082,afr8082,,,,,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-12t14:00:00.000,nbo,hkjk,2023-12-12t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,,,,,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-12t14:00:00.000,nbo,hkjk,2023-12-12t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,,,,,,,,,,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-12t15:45:00.000,dar,htda,2023-12-12t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-12-12t16:25:00.000,2023-12-12t16:25:00.000,2023-12-12t16:25:00.000,2023-12-12t17:13:00.000,,,,,,,,3,40.0,,,,8.0,,,
departure,active,hah,fmch,2023-12-13t08:30:00.000,ajn,fmcv,2023-12-13t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-13t10:50:00.000,run,fmee,2023-12-13t14:15:00.000,air france,af,afr,3255,af3255,afr3255,,,,,air austral,uu,reu,256,uu256,reu256,,,,,,,,,,
departure,active,hah,fmch,2023-12-13t10:50:00.000,run,fmee,2023-12-13t14:15:00.000,air austral,uu,reu,256,uu256,reu256,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-13t12:30:00.000,dza,fmcz,2023-12-13t13:30:00.000,air austral,uu,reu,7403,uu7403,reu7403,2023-12-13t12:09:00.000,2023-12-13t12:09:00.000,2023-12-13t12:09:00.000,2023-12-13t12:57:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,2023-12-13t12:52:00.000,2023-12-13t12:52:00.000,2023-12-13t12:52:00.000,,,,
departure,active,hah,fmch,2023-12-13t12:30:00.000,dza,fmcz,2023-12-13t13:30:00.000,ewa air,zd,ewr,303,zd303,ewr303,2023-12-13t12:09:00.000,2023-12-13t12:09:00.000,2023-12-13t12:09:00.000,2023-12-13t12:57:00.000,,,,,,,,,,2023-12-13t12:52:00.000,2023-12-13t12:52:00.000,2023-12-13t12:52:00.000,,,,
departure,active,hah,fmch,2023-12-13t13:15:00.000,nwa,fmci,2023-12-13t13:40:00.000,empty,,,312,,,,,,,,,,,,,,,,,,,,,,
departure,unknown,hah,fmch,2023-12-13t14:00:00.000,nbo,hkjk,2023-12-13t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,,,,,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,unknown,hah,fmch,2023-12-13t14:00:00.000,nbo,hkjk,2023-12-13t16:10:00.000,air france,af,afr,8082,af8082,afr8082,,,,,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,unknown,hah,fmch,2023-12-13t14:00:00.000,nbo,hkjk,2023-12-13t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,,,,,,,,,,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-13t15:45:00.000,dar,htda,2023-12-13t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-12-13t16:11:00.000,2023-12-13t16:11:00.000,2023-12-13t16:11:00.000,2023-12-13t17:13:00.000,,,,,,,,3,26.0,,,,8.0,,,
departure,active,hah,fmch,2023-12-13t16:30:00.000,ajn,fmcv,2023-12-13t17:00:00.000,empty,,,509,,,,,,,,,,,,,,,,,,,,,,
departure,unknown,hah,fmch,2023-12-14t08:30:00.000,ajn,fmcv,2023-12-14t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-14t12:50:00.000,dar,htda,2023-12-14t14:05:00.000,,h1,h1,3688,h13688,h13688,2023-12-14t12:52:00.000,2023-12-14t12:52:00.000,2023-12-14t12:52:00.000,2023-12-14t13:54:00.000,air tanzania,tc,atc,211,tc211,atc211,,2,3.0,,,,,,,
departure,active,hah,fmch,2023-12-14t12:50:00.000,dar,htda,2023-12-14t14:05:00.000,air tanzania,tc,atc,211,tc211,atc211,2023-12-14t12:52:00.000,2023-12-14t12:52:00.000,2023-12-14t12:52:00.000,2023-12-14t13:54:00.000,,,,,,,,2,3.0,,,,,,,
departure,active,hah,fmch,2023-12-14t14:10:00.000,ajn,fmcv,2023-12-14t14:50:00.000,,h1,h1,1966,h11966,h11966,,,,,precision air,pw,prf,642,pw642,prf642,,,,,,,,,,
departure,active,hah,fmch,2023-12-14t14:10:00.000,ajn,fmcv,2023-12-14t14:50:00.000,precision air,pw,prf,642,pw642,prf642,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-14t15:45:00.000,dar,htda,2023-12-14t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-12-14t16:03:00.000,2023-12-14t16:03:00.000,2023-12-14t16:03:00.000,2023-12-14t17:11:00.000,,,,,,,,3,18.0,,,,6.0,,,
departure,active,hah,fmch,2023-12-14t16:00:00.000,dza,fmcz,2023-12-14t17:00:00.000,air austral,uu,reu,7403,uu7403,reu7403,,,,,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-12-14t16:00:00.000,dza,fmcz,2023-12-14t17:00:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-14t16:30:00.000,dar,htda,2023-12-14t18:10:00.000,,h1,h1,1967,h11967,h11967,,,,,precision air,pw,prf,643,pw643,prf643,,,,,,,,,,
departure,active,hah,fmch,2023-12-14t16:30:00.000,dar,htda,2023-12-14t18:10:00.000,precision air,pw,prf,643,pw643,prf643,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-15t07:35:00.000,cai,heca,2023-12-15t13:35:00.000,etihad airways,ey,etd,4954,ey4954,etd4954,,,,,egyptair,ms,msr,841,ms841,msr841,,3,,,,,,,,
departure,active,hah,fmch,2023-12-15t07:35:00.000,cai,heca,2023-12-15t13:35:00.000,egyptair,ms,msr,841,ms841,msr841,,,,,,,,,,,,3,,,,,,,,
departure,active,hah,fmch,2023-12-15t08:30:00.000,ajn,fmcv,2023-12-15t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-15t13:15:00.000,nwa,fmci,2023-12-15t13:40:00.000,empty,,,312,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-15t14:00:00.000,nbo,hkjk,2023-12-15t16:10:00.000,air france,af,afr,8082,af8082,afr8082,2023-12-15t13:49:00.000,2023-12-15t13:49:00.000,2023-12-15t13:49:00.000,2023-12-15t15:41:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-15t14:00:00.000,nbo,hkjk,2023-12-15t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,2023-12-15t13:49:00.000,2023-12-15t13:49:00.000,2023-12-15t13:49:00.000,2023-12-15t15:41:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-15t14:00:00.000,nbo,hkjk,2023-12-15t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-12-15t13:49:00.000,2023-12-15t13:49:00.000,2023-12-15t13:49:00.000,2023-12-15t15:41:00.000,,,,,,,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-15t15:45:00.000,dar,htda,2023-12-15t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,,,,,,,,,,,2023-12-15t16:15:00.000,3,30.0,,,,,,,
departure,active,hah,fmch,2023-12-15t16:00:00.000,dza,fmcz,2023-12-15t17:00:00.000,air austral,uu,reu,7403,uu7403,reu7403,2023-12-15t15:27:00.000,2023-12-15t15:27:00.000,2023-12-15t15:27:00.000,,ewa air,zd,ewr,303,zd303,ewr303,2023-12-15t16:00:00.000,,,2023-12-15t16:08:00.000,2023-12-15t16:08:00.000,2023-12-15t16:08:00.000,,,,
departure,active,hah,fmch,2023-12-15t16:00:00.000,dza,fmcz,2023-12-15t17:00:00.000,ewa air,zd,ewr,303,zd303,ewr303,2023-12-15t15:27:00.000,2023-12-15t15:27:00.000,2023-12-15t15:27:00.000,,,,,,,,2023-12-15t16:00:00.000,,,2023-12-15t16:08:00.000,2023-12-15t16:08:00.000,2023-12-15t16:08:00.000,,,,
departure,active,hah,fmch,2023-12-15t16:30:00.000,ajn,fmcv,2023-12-15t17:00:00.000,empty,,,509,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-16t10:00:00.000,nwa,fmci,2023-12-16t10:25:00.000,empty,,,521,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-16t12:50:00.000,dar,htda,2023-12-16t14:05:00.000,,h1,h1,3688,h13688,h13688,,,,,air tanzania,tc,atc,211,tc211,atc211,,2,,,,,,,,
departure,active,hah,fmch,2023-12-16t12:50:00.000,dar,htda,2023-12-16t14:05:00.000,air tanzania,tc,atc,211,tc211,atc211,,,,,,,,,,,,2,,,,,,,,
departure,active,hah,fmch,2023-12-16t14:00:00.000,nbo,hkjk,2023-12-16t16:10:00.000,air france,af,afr,8082,af8082,afr8082,2023-12-16t13:46:00.000,2023-12-16t13:46:00.000,2023-12-16t13:46:00.000,2023-12-16t15:37:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-16t14:00:00.000,nbo,hkjk,2023-12-16t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,2023-12-16t13:46:00.000,2023-12-16t13:46:00.000,2023-12-16t13:46:00.000,2023-12-16t15:37:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-16t14:00:00.000,nbo,hkjk,2023-12-16t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-12-16t13:46:00.000,2023-12-16t13:46:00.000,2023-12-16t13:46:00.000,2023-12-16t15:37:00.000,,,,,,,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-16t14:10:00.000,ajn,fmcv,2023-12-16t14:50:00.000,,h1,h1,1966,h11966,h11966,,,,,precision air,pw,prf,642,pw642,prf642,,,,,,,,,,
departure,active,hah,fmch,2023-12-16t14:10:00.000,ajn,fmcv,2023-12-16t14:50:00.000,precision air,pw,prf,642,pw642,prf642,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-16t15:45:00.000,dar,htda,2023-12-16t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,,,,,,,,,,,,3,,,,,,,,
departure,active,hah,fmch,2023-12-16t15:45:00.000,dza,fmcz,2023-12-16t16:45:00.000,air austral,uu,reu,7403,uu7403,reu7403,,,,,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-12-16t15:45:00.000,dza,fmcz,2023-12-16t16:45:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-16t16:30:00.000,ajn,fmcv,2023-12-16t17:00:00.000,empty,,,509,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-16t16:30:00.000,dar,htda,2023-12-16t18:10:00.000,,h1,h1,1967,h11967,h11967,,,,,precision air,pw,prf,643,pw643,prf643,,,,,,,,,,
departure,active,hah,fmch,2023-12-16t16:30:00.000,dar,htda,2023-12-16t18:10:00.000,precision air,pw,prf,643,pw643,prf643,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-17t12:30:00.000,dza,fmcz,2023-12-17t13:30:00.000,air austral,uu,reu,7403,uu7403,reu7403,,,,,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-12-17t12:30:00.000,dza,fmcz,2023-12-17t13:30:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-17t14:00:00.000,nbo,hkjk,2023-12-17t16:10:00.000,air france,af,afr,8082,af8082,afr8082,,,,,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-17t14:00:00.000,nbo,hkjk,2023-12-17t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,,,,,kenya airways,kq,kqa,265,kq265,kqa265,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-17t14:00:00.000,nbo,hkjk,2023-12-17t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,,,,,,,,,,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-17t15:45:00.000,dar,htda,2023-12-17t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-12-17t16:18:00.000,2023-12-17t16:18:00.000,2023-12-17t16:18:00.000,2023-12-17t17:21:00.000,,,,,,,,3,33.0,,,,17.0,,,
departure,active,hah,fmch,2023-12-18t08:30:00.000,ajn,fmcv,2023-12-18t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-18t13:15:00.000,nwa,fmci,2023-12-18t13:40:00.000,empty,,,312,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-18t15:45:00.000,dar,htda,2023-12-18t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,,,,,,,,,,,,3,,,,,,,,
departure,active,hah,fmch,2023-12-18t16:00:00.000,dza,fmcz,2023-12-18t17:00:00.000,air austral,uu,reu,7403,uu7403,reu7403,2023-12-18t15:39:00.000,2023-12-18t15:39:00.000,2023-12-18t15:39:00.000,2023-12-18t16:28:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-12-18t16:00:00.000,dza,fmcz,2023-12-18t17:00:00.000,ewa air,zd,ewr,303,zd303,ewr303,2023-12-18t15:39:00.000,2023-12-18t15:39:00.000,2023-12-18t15:39:00.000,2023-12-18t16:28:00.000,,,,,,,,,,,,,,,,
departure,cancelled,hah,fmch,2023-12-19t02:15:00.000,nbo,hkjk,2023-12-19t04:45:00.000,klm,kl,klm,4219,kl4219,klm4219,,,,,kenya airways,kq,kqa,267,kq267,kqa267,,1a,,,,,,,,
departure,cancelled,hah,fmch,2023-12-19t02:15:00.000,nbo,hkjk,2023-12-19t04:45:00.000,kenya airways,kq,kqa,267,kq267,kqa267,,,,,,,,,,,,1a,,,,,,,,
departure,active,hah,fmch,2023-12-19t10:00:00.000,nwa,fmci,2023-12-19t10:25:00.000,empty,,,521,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-19t12:30:00.000,dza,fmcz,2023-12-19t13:30:00.000,air austral,uu,reu,7403,uu7403,reu7403,,,,,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-12-19t12:30:00.000,dza,fmcz,2023-12-19t13:30:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-12-19t12:50:00.000,dar,htda,2023-12-19t14:05:00.000,,h1,h1,3688,h13688,h13688,2023-12-19t13:12:00.000,2023-12-19t13:12:00.000,2023-12-19t13:12:00.000,2023-12-19t14:14:00.000,air tanzania,tc,atc,211,tc211,atc211,,2,22.0,,,,9.0,,,
departure,active,hah,fmch,2023-12-19t12:50:00.000,dar,htda,2023-12-19t14:05:00.000,air tanzania,tc,atc,211,tc211,atc211,2023-12-19t13:12:00.000,2023-12-19t13:12:00.000,2023-12-19t13:12:00.000,2023-12-19t14:14:00.000,,,,,,,,2,22.0,,,,9.0,,,
departure,active,hah,fmch,2023-12-19t14:00:00.000,nbo,hkjk,2023-12-19t16:10:00.000,air france,af,afr,8082,af8082,afr8082,2023-12-19t14:08:00.000,2023-12-19t14:08:00.000,2023-12-19t14:08:00.000,2023-12-19t16:00:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,1a,9.0,,,,,,,
departure,active,hah,fmch,2023-12-19t14:00:00.000,nbo,hkjk,2023-12-19t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,2023-12-19t14:08:00.000,2023-12-19t14:08:00.000,2023-12-19t14:08:00.000,2023-12-19t16:00:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,1a,9.0,,,,,,,
departure,active,hah,fmch,2023-12-19t14:00:00.000,nbo,hkjk,2023-12-19t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-12-19t14:08:00.000,2023-12-19t14:08:00.000,2023-12-19t14:08:00.000,2023-12-19t16:00:00.000,,,,,,,,1a,9.0,,,,,,,
departure,active,hah,fmch,2023-12-19t15:45:00.000,dar,htda,2023-12-19t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-12-19t16:13:00.000,2023-12-19t16:13:00.000,2023-12-19t16:13:00.000,2023-12-19t17:15:00.000,,,,,,,,3,29.0,,,,10.0,,,
