type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.terminal,departure.delay,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.gate,error
arrival,unknown,ajn,fmcv,2023-11-03t07:30:00.000,hah,fmch,2023-11-03t08:30:00.000,empty,,,504,,,,,,,,,,,,,,,,,,,,,
arrival,unknown,nwa,fmci,2023-11-03t12:20:00.000,hah,fmch,2023-11-03t12:45:00.000,empty,,,311,,,,,,,,,,,,,,,,,,,,,
arrival,landed,nbo,hkjk,2023-11-03t10:30:00.000,hah,fmch,2023-11-03t13:00:00.000,klm,kl,klm,4210,kl4210,klm4210,kenya airways,kq,kqa,264,kq264,kqa264,1a,10.0,2023-11-03t10:42:00.000,2023-11-03t10:39:00.000,2023-11-03t10:39:00.000,2023-11-03t10:39:00.000,2023-11-03t12:31:00.000,2023-11-03t12:28:00.000,2023-11-03t12:28:00.000,2023-11-03t12:28:00.000,,,
arrival,landed,nbo,hkjk,2023-11-03t10:30:00.000,hah,fmch,2023-11-03t13:00:00.000,air france,af,afr,8075,af8075,afr8075,kenya airways,kq,kqa,264,kq264,kqa264,1a,10.0,2023-11-03t10:42:00.000,2023-11-03t10:39:00.000,2023-11-03t10:39:00.000,2023-11-03t10:39:00.000,2023-11-03t12:31:00.000,2023-11-03t12:28:00.000,2023-11-03t12:28:00.000,2023-11-03t12:28:00.000,,,
arrival,landed,nbo,hkjk,2023-11-03t10:30:00.000,hah,fmch,2023-11-03t13:00:00.000,kenya airways,kq,kqa,264,kq264,kqa264,,,,,,,1a,10.0,2023-11-03t10:42:00.000,2023-11-03t10:39:00.000,2023-11-03t10:39:00.000,2023-11-03t10:39:00.000,2023-11-03t12:31:00.000,2023-11-03t12:28:00.000,2023-11-03t12:28:00.000,2023-11-03t12:28:00.000,,,
arrival,landed,dar,htda,2023-11-03t13:25:00.000,hah,fmch,2023-11-03t14:45:00.000,ethiopian airlines,et,eth,865,et865,eth865,,,,,,,3,2.0,2023-11-03t13:25:00.000,2023-11-03t13:26:00.000,2023-11-03t13:26:00.000,2023-11-03t13:26:00.000,2023-11-03t14:30:00.000,2023-11-03t14:33:00.000,2023-11-03t14:33:00.000,2023-11-03t14:33:00.000,,c5,
arrival,landed,dza,fmcz,2023-11-03t13:45:00.000,hah,fmch,2023-11-03t14:45:00.000,air austral,uu,reu,7402,uu7402,reu7402,ewa air,zd,ewr,302,zd302,ewr302,,,,2023-11-03t13:31:00.000,2023-11-03t13:31:00.000,2023-11-03t13:31:00.000,,2023-11-03t14:14:00.000,2023-11-03t14:14:00.000,2023-11-03t14:14:00.000,,,
arrival,landed,dza,fmcz,2023-11-03t13:45:00.000,hah,fmch,2023-11-03t14:45:00.000,ewa air,zd,ewr,302,zd302,ewr302,,,,,,,,,,2023-11-03t13:31:00.000,2023-11-03t13:31:00.000,2023-11-03t13:31:00.000,,2023-11-03t14:14:00.000,2023-11-03t14:14:00.000,2023-11-03t14:14:00.000,,,
arrival,unknown,ajn,fmcv,2023-11-03t15:30:00.000,hah,fmch,2023-11-03t16:00:00.000,empty,,,508,,,,,,,,,,,,,,,,,,,,,
arrival,unknown,nwa,fmci,2023-11-04t09:00:00.000,hah,fmch,2023-11-04t09:30:00.000,empty,,,522,,,,,,,,,,,,,,,,,,,,,
arrival,landed,dar,htda,2023-11-04t11:00:00.000,hah,fmch,2023-11-04t12:15:00.000,,h1,h1,3656,h13656,h13656,air tanzania,tc,atc,210,tc210,atc210,3,30.0,2023-11-04t11:00:00.000,2023-11-04t11:30:00.000,2023-11-04t11:30:00.000,2023-11-04t11:30:00.000,2023-11-04t12:33:00.000,2023-11-04t12:33:00.000,2023-11-04t12:33:00.000,2023-11-04t12:33:00.000,18.0,,
arrival,landed,dar,htda,2023-11-04t11:00:00.000,hah,fmch,2023-11-04t12:15:00.000,air tanzania,tc,atc,210,tc210,atc210,,,,,,,3,30.0,2023-11-04t11:00:00.000,2023-11-04t11:30:00.000,2023-11-04t11:30:00.000,2023-11-04t11:30:00.000,2023-11-04t12:33:00.000,2023-11-04t12:33:00.000,2023-11-04t12:33:00.000,2023-11-04t12:33:00.000,18.0,,
arrival,landed,nbo,hkjk,2023-11-04t10:30:00.000,hah,fmch,2023-11-04t13:00:00.000,klm,kl,klm,4210,kl4210,klm4210,kenya airways,kq,kqa,264,kq264,kqa264,1a,101.0,2023-11-04t12:00:00.000,2023-11-04t12:10:00.000,2023-11-04t12:10:00.000,2023-11-04t12:10:00.000,2023-11-04t14:03:00.000,,,,63.0,,
arrival,landed,nbo,hkjk,2023-11-04t10:30:00.000,hah,fmch,2023-11-04t13:00:00.000,air france,af,afr,8075,af8075,afr8075,kenya airways,kq,kqa,264,kq264,kqa264,1a,101.0,2023-11-04t12:00:00.000,2023-11-04t12:10:00.000,2023-11-04t12:10:00.000,2023-11-04t12:10:00.000,2023-11-04t14:03:00.000,,,,63.0,,
arrival,landed,nbo,hkjk,2023-11-04t10:30:00.000,hah,fmch,2023-11-04t13:00:00.000,kenya airways,kq,kqa,264,kq264,kqa264,,,,,,,1a,101.0,2023-11-04t12:00:00.000,2023-11-04t12:10:00.000,2023-11-04t12:10:00.000,2023-11-04t12:10:00.000,2023-11-04t14:03:00.000,,,,63.0,,
arrival,landed,dar,htda,2023-11-04t13:25:00.000,hah,fmch,2023-11-04t14:45:00.000,ethiopian airlines,et,eth,865,et865,eth865,,,,,,,3,16.0,2023-11-04t13:25:00.000,2023-11-04t13:40:00.000,2023-11-04t13:40:00.000,2023-11-04t13:40:00.000,2023-11-04t14:47:00.000,2023-11-04t14:39:00.000,2023-11-04t14:39:00.000,2023-11-04t14:39:00.000,,c5,
arrival,unknown,ajn,fmcv,2023-11-04t15:30:00.000,hah,fmch,2023-11-04t16:00:00.000,empty,,,508,,,,,,,,,,,,,,,,,,,,,
arrival,landed,dza,fmcz,2023-11-05t10:15:00.000,hah,fmch,2023-11-05t11:15:00.000,air austral,uu,reu,7402,uu7402,reu7402,ewa air,zd,ewr,302,zd302,ewr302,,16.0,,2023-11-05t10:30:00.000,2023-11-05t10:30:00.000,2023-11-05t10:30:00.000,2023-11-05t11:14:00.000,2023-11-05t11:13:00.000,2023-11-05t11:13:00.000,2023-11-05t11:13:00.000,,,
arrival,landed,dza,fmcz,2023-11-05t10:15:00.000,hah,fmch,2023-11-05t11:15:00.000,ewa air,zd,ewr,302,zd302,ewr302,,,,,,,,16.0,,2023-11-05t10:30:00.000,2023-11-05t10:30:00.000,2023-11-05t10:30:00.000,2023-11-05t11:14:00.000,2023-11-05t11:13:00.000,2023-11-05t11:13:00.000,2023-11-05t11:13:00.000,,,
arrival,unknown,nbo,hkjk,2023-11-05t10:30:00.000,hah,fmch,2023-11-05t13:00:00.000,kenya airways,kq,kqa,264,kq264,kqa264,,,,,,,1a,15.0,2023-11-05t10:45:00.000,,,,,,,,,,
arrival,landed,dar,htda,2023-11-05t13:25:00.000,hah,fmch,2023-11-05t14:45:00.000,ethiopian airlines,et,eth,865,et865,eth865,,,,,,,3,65.0,2023-11-05t14:05:00.000,2023-11-05t14:30:00.000,2023-11-05t14:30:00.000,2023-11-05t14:30:00.000,2023-11-05t15:30:00.000,,,,45.0,c5,
arrival,unknown,ajn,fmcv,2023-11-06t07:30:00.000,hah,fmch,2023-11-06t08:30:00.000,empty,,,504,,,,,,,,,,,,,,,,,,,,,
arrival,unknown,nwa,fmci,2023-11-06t12:20:00.000,hah,fmch,2023-11-06t12:45:00.000,empty,,,311,,,,,,,,,,,,,,,,,,,,,
arrival,landed,dar,htda,2023-11-06t13:25:00.000,hah,fmch,2023-11-06t14:45:00.000,ethiopian airlines,et,eth,865,et865,eth865,,,,,,,3,18.0,,2023-11-06t13:42:00.000,2023-11-06t13:42:00.000,2023-11-06t13:42:00.000,2023-11-06t14:45:00.000,2023-11-06t14:46:00.000,2023-11-06t14:46:00.000,2023-11-06t14:46:00.000,2.0,c5,
