type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.estimatedTime,arrival.baggage,arrival.gate,error
departure,active,vca,vvct,2023-11-01t18:30:00.000,2023-11-01t18:57:00.000,2023-11-01t18:57:00.000,2023-11-01t18:57:00.000,han,vvnb,t1,2023-11-01t20:40:00.000,2023-11-01t20:52:00.000,vietjet air,vj,vjc,462,vj462,vjc462,27.0,,,,,,,,,,12.0,,,,
departure,active,vca,vvct,2023-11-01t19:50:00.000,2023-11-01t19:54:00.000,2023-11-01t19:54:00.000,2023-11-01t19:54:00.000,han,vvnb,t1,2023-11-01t22:15:00.000,2023-11-01t21:43:00.000,vietnam airlines,vn,hvn,1206,vn1206,hvn1206,5.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-01t20:55:00.000,,,,han,vvnb,1,2023-11-01t23:10:00.000,,bamboo airways,qh,bav,1432,qh1432,bav1432,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t05:50:00.000,2023-11-02t05:55:00.000,2023-11-02t05:55:00.000,2023-11-02t05:55:00.000,han,vvnb,t1,2023-11-02t08:00:00.000,2023-11-02t07:44:00.000,,a1,a1,2466,a12466,a12466,6.0,vietjet air,vj,vjc,466,vj466,vjc466,,,,,,,,
departure,active,vca,vvct,2023-11-02t05:50:00.000,2023-11-02t05:55:00.000,2023-11-02t05:55:00.000,2023-11-02t05:55:00.000,han,vvnb,t1,2023-11-02t08:00:00.000,2023-11-02t07:44:00.000,flexflight,w2,fxt,4466,w24466,fxt4466,6.0,vietjet air,vj,vjc,466,vj466,vjc466,,,,,,,,
departure,active,vca,vvct,2023-11-02t05:50:00.000,2023-11-02t05:55:00.000,2023-11-02t05:55:00.000,2023-11-02t05:55:00.000,han,vvnb,t1,2023-11-02t08:00:00.000,2023-11-02t07:44:00.000,,h1,h1,4036,h14036,h14036,6.0,vietjet air,vj,vjc,466,vj466,vjc466,,,,,,,,
departure,active,vca,vvct,2023-11-02t05:50:00.000,2023-11-02t05:55:00.000,2023-11-02t05:55:00.000,2023-11-02t05:55:00.000,han,vvnb,t1,2023-11-02t08:00:00.000,2023-11-02t07:44:00.000,vietjet air,vj,vjc,466,vj466,vjc466,6.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t10:00:00.000,2023-11-02t10:06:00.000,2023-11-02t10:06:00.000,2023-11-02t10:06:00.000,han,vvnb,t1,2023-11-02t12:20:00.000,2023-11-02t11:56:00.000,vietnam airlines,vn,hvn,1200,vn1200,hvn1200,6.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t11:35:00.000,,,,dad,vvdn,1,2023-11-02t13:05:00.000,,,a1,a1,2702,a12702,a12702,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
departure,active,vca,vvct,2023-11-02t11:35:00.000,,,,dad,vvdn,1,2023-11-02t13:05:00.000,,flexflight,w2,fxt,4702,w24702,fxt4702,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
