type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.delay,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.delay,departure.estimatedTime,departure.gate,error
arrival,landed,dad,vvdn,1,9.0,2023-11-01t13:45:00.000,2023-11-01t13:54:00.000,2023-11-01t13:54:00.000,2023-11-01t13:54:00.000,vca,vvct,2023-11-01t15:15:00.000,2023-11-01t15:06:00.000,2023-11-01t15:07:00.000,2023-11-01t15:07:00.000,2023-11-01t15:07:00.000,vietjet air,vj,vjc,703,vj703,vjc703,,,,,,,,,,
arrival,landed,han,vvnb,t1,15.0,2023-11-01t15:45:00.000,2023-11-01t15:59:00.000,2023-11-01t15:59:00.000,2023-11-01t15:59:00.000,vca,vvct,2023-11-01t17:55:00.000,2023-11-01t17:51:00.000,2023-11-01t17:50:00.000,2023-11-01t17:50:00.000,2023-11-01t17:50:00.000,,a1,a1,2463,a12463,a12463,vietjet air,vj,vjc,463,vj463,vjc463,,,,
arrival,landed,han,vvnb,t1,15.0,2023-11-01t15:45:00.000,2023-11-01t15:59:00.000,2023-11-01t15:59:00.000,2023-11-01t15:59:00.000,vca,vvct,2023-11-01t17:55:00.000,2023-11-01t17:51:00.000,2023-11-01t17:50:00.000,2023-11-01t17:50:00.000,2023-11-01t17:50:00.000,flexflight,w2,fxt,4463,w24463,fxt4463,vietjet air,vj,vjc,463,vj463,vjc463,,,,
arrival,landed,han,vvnb,t1,15.0,2023-11-01t15:45:00.000,2023-11-01t15:59:00.000,2023-11-01t15:59:00.000,2023-11-01t15:59:00.000,vca,vvct,2023-11-01t17:55:00.000,2023-11-01t17:51:00.000,2023-11-01t17:50:00.000,2023-11-01t17:50:00.000,2023-11-01t17:50:00.000,,h1,h1,4238,h14238,h14238,vietjet air,vj,vjc,463,vj463,vjc463,,,,
arrival,landed,han,vvnb,t1,15.0,2023-11-01t15:45:00.000,2023-11-01t15:59:00.000,2023-11-01t15:59:00.000,2023-11-01t15:59:00.000,vca,vvct,2023-11-01t17:55:00.000,2023-11-01t17:51:00.000,2023-11-01t17:50:00.000,2023-11-01t17:50:00.000,2023-11-01t17:50:00.000,vietjet air,vj,vjc,463,vj463,vjc463,,,,,,,,,,
arrival,landed,han,vvnb,t1,13.0,2023-11-01t16:45:00.000,2023-11-01t16:57:00.000,2023-11-01t16:57:00.000,2023-11-01t16:57:00.000,vca,vvct,2023-11-01t19:05:00.000,2023-11-01t18:50:00.000,2023-11-01t18:50:00.000,2023-11-01t18:50:00.000,2023-11-01t18:50:00.000,vietnam airlines,vn,hvn,1207,vn1207,hvn1207,,,,,,,,2023-11-01t16:41:00.000,,
arrival,unknown,han,vvnb,1,,2023-11-01t17:50:00.000,,,,vca,vvct,2023-11-01t20:10:00.000,,,,,bamboo airways,qh,bav,1431,qh1431,bav1431,,,,,,,,,,
arrival,landed,han,vvnb,t1,4.0,2023-11-01t19:05:00.000,2023-11-01t19:08:00.000,2023-11-01t19:08:00.000,2023-11-01t19:08:00.000,vca,vvct,2023-11-01t21:10:00.000,2023-11-01t21:00:00.000,2023-11-01t20:58:00.000,2023-11-01t20:58:00.000,2023-11-01t20:58:00.000,,a1,a1,2467,a12467,a12467,vietjet air,vj,vjc,467,vj467,vjc467,,2023-11-01t18:58:00.000,,
arrival,landed,han,vvnb,t1,4.0,2023-11-01t19:05:00.000,2023-11-01t19:08:00.000,2023-11-01t19:08:00.000,2023-11-01t19:08:00.000,vca,vvct,2023-11-01t21:10:00.000,2023-11-01t21:00:00.000,2023-11-01t20:58:00.000,2023-11-01t20:58:00.000,2023-11-01t20:58:00.000,flexflight,w2,fxt,4467,w24467,fxt4467,vietjet air,vj,vjc,467,vj467,vjc467,,2023-11-01t18:58:00.000,,
arrival,landed,han,vvnb,t1,4.0,2023-11-01t19:05:00.000,2023-11-01t19:08:00.000,2023-11-01t19:08:00.000,2023-11-01t19:08:00.000,vca,vvct,2023-11-01t21:10:00.000,2023-11-01t21:00:00.000,2023-11-01t20:58:00.000,2023-11-01t20:58:00.000,2023-11-01t20:58:00.000,,h1,h1,4134,h14134,h14134,vietjet air,vj,vjc,467,vj467,vjc467,,2023-11-01t18:58:00.000,,
arrival,landed,han,vvnb,t1,4.0,2023-11-01t19:05:00.000,2023-11-01t19:08:00.000,2023-11-01t19:08:00.000,2023-11-01t19:08:00.000,vca,vvct,2023-11-01t21:10:00.000,2023-11-01t21:00:00.000,2023-11-01t20:58:00.000,2023-11-01t20:58:00.000,2023-11-01t20:58:00.000,vietjet air,vj,vjc,467,vj467,vjc467,,,,,,,,2023-11-01t18:58:00.000,,
arrival,unknown,tpe,rctp,1,,2023-11-01t19:55:00.000,,,,vca,vvct,2023-11-01t22:45:00.000,,,,,,h1,h1,5182,h15182,h15182,vietjet air,vj,vjc,867,vj867,vjc867,,,,
arrival,unknown,tpe,rctp,1,,2023-11-01t19:55:00.000,,,,vca,vvct,2023-11-01t22:45:00.000,,,,,,a1,a1,2867,a12867,a12867,vietjet air,vj,vjc,867,vj867,vjc867,,,,
arrival,unknown,tpe,rctp,1,,2023-11-01t19:55:00.000,,,,vca,vvct,2023-11-01t22:45:00.000,,,,,flexflight,w2,fxt,4867,w24867,fxt4867,vietjet air,vj,vjc,867,vj867,vjc867,,,,
arrival,unknown,tpe,rctp,1,,2023-11-01t19:55:00.000,,,,vca,vvct,2023-11-01t22:45:00.000,,,,,vietjet air,vj,vjc,867,vj867,vjc867,,,,,,,,,,
arrival,landed,vii,vvvh,,308.0,2023-11-01t08:50:00.000,2023-11-01t13:58:00.000,2023-11-01t13:58:00.000,2023-11-01t13:58:00.000,vca,vvct,2023-11-01t15:50:00.000,2023-11-01t15:32:00.000,2023-11-01t15:32:00.000,2023-11-01t15:32:00.000,2023-11-01t15:32:00.000,vietjet air,vj,vjc,481,vj481,vjc481,,,,,,,,2023-11-01t13:58:00.000,,
arrival,landed,han,vvnb,t1,7.0,2023-11-02t06:35:00.000,2023-11-02t06:41:00.000,2023-11-02t06:41:00.000,2023-11-02t06:41:00.000,vca,vvct,2023-11-02t08:55:00.000,2023-11-02t08:29:00.000,,,,vietnam airlines,vn,hvn,1201,vn1201,hvn1201,,,,,,,,,,
arrival,landed,han,vvnb,t1,20.0,2023-11-02t08:45:00.000,2023-11-02t09:04:00.000,2023-11-02t09:04:00.000,2023-11-02t09:04:00.000,vca,vvct,2023-11-02t10:50:00.000,2023-11-02t10:55:00.000,,,,,a1,a1,2461,a12461,a12461,vietjet air,vj,vjc,461,vj461,vjc461,6.0,,,
arrival,landed,han,vvnb,t1,20.0,2023-11-02t08:45:00.000,2023-11-02t09:04:00.000,2023-11-02t09:04:00.000,2023-11-02t09:04:00.000,vca,vvct,2023-11-02t10:50:00.000,2023-11-02t10:55:00.000,,,,flexflight,w2,fxt,4461,w24461,fxt4461,vietjet air,vj,vjc,461,vj461,vjc461,6.0,,,
arrival,landed,han,vvnb,t1,20.0,2023-11-02t08:45:00.000,2023-11-02t09:04:00.000,2023-11-02t09:04:00.000,2023-11-02t09:04:00.000,vca,vvct,2023-11-02t10:50:00.000,2023-11-02t10:55:00.000,,,,,h1,h1,4331,h14331,h14331,vietjet air,vj,vjc,461,vj461,vjc461,6.0,,,
